Column 1 1 2 1,CATEGORY,Column 1 2 1 3 2 1 1,Column 1 2 1 3 2 2 1,Column 1 2 1 3 2 3 1,Column 1 2 1 3 2 4 1
"""Smarsh for Chat""","[""content-and-compliance""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Makesweat.com""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Gameroom""","[""social-activities""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Video meeting for Qboxmail""","[""scheduling-calendar""]",,,,
"""Vectorly""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Product Usage""",
"""ClassworxScheduler""","[""learning-development""]","""Product Usage""",,,
"""SSO for Vtiger""","[""crm""]","""Product Usage""",,,
"""CalendarHero Webinar - Account-Level""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""TORSH Talent HS""","[""health-care"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""anny""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ClassFolios""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Scales""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Rehab Guru""","[""health-wellness""]","""Product Usage""",,,
"""Chatwork""","[""team-collaborations""]","""Product Usage""",,,
"""Clevermessenger""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Classpro.io""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Pentugram""","[""eCommerce""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Tribute""","[""scheduling-calendar""]","""Product Usage""",,,
"""Exeest""","[""sales-automation""]","""Product Usage""",,,
"""Lex Analytics""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Signilo for Zoom""","[""scheduling-calendar""]","""Product Usage""",,,
"""MeetLock Guru""","[""education"",""learning-development""]","""Product Usage""",,,
"""Innform""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Product Usage""",
"""MySciHub""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Natrapharm FCPE""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Breeio""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Ziotag""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Transferring-videos.com""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Product Usage""",
"""Apptio Cloudability SaaS - AU""","[""analytics""]","""Product Usage""",,,
"""Zero Gravity""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Join It Membership""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Zylo""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Peoplelogic.ai""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Theta Lake eComms Archive""","[""content-and-compliance"",""eCommerce""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""PowerSuite by Unify Square""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""NGP VAN + EveryAction Meetings""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Zendesk Notifications by Zoom""","[""customer-service""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Chorus For Zoom Phone""","[""sales-automation""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Pattyrn""","[""human-resources"",""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Fuse Classroom""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Myna""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""iSpring Learn""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Spir""","[""scheduling-calendar""]",,,,
"""CLOVA Note""","[""education"",""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Luma Beautiful Event Pages""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Setmore Appointments""","[""scheduling-calendar""]","""Product Usage""",,,
"""Chatwork for Users""","[""team-collaborations""]","""Product Usage""",,,
"""Lucidspark Whiteboard""","[""team-collaborations""]","""Product Usage""",,,
"""Dont Interrupt""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Flycrew""","[""health-care"",""social-activities""]","""Registration Information""","""Content""","""Product Usage""",
"""Hyperia""","[""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""The Expert""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Cafetalk""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Kundalik.Online dars""","[""education"",""learning-development""]",,,,
"""WHOS-NEXT.COM""","[""customer-service"",""education""]",,,,
"""EventRebels""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""zcal""","[""scheduling-calendar""]","""Product Usage""",,,
"""Nexudus for Administrators""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Gong App for Zoom""","[""sales-automation""]",,,,
"""Access LMS Virtual Events""","[""learning-development""]","""Registration Information""","""Content""","""Product Usage""",
"""Cogsworth""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Product Usage""",
"""IdealTraits""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Talentio""","[""scheduling-calendar""]","""Product Usage""",,,
"""Circles""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Happy Scribe""","[""transcription-translation""]","""Registration Information""","""Content""","""Product Usage""",
"""WhosThere""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Clipchamp""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Secret Santa""","[""team-collaborations""]","""Content""","""Product Usage""",,
"""Pocket Therapist""","[""health-wellness""]",,,,
"""Clockwise""","[""scheduling-calendar""]","""Product Usage""",,,
"""Jellyzone Telehealth""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
